state,state_po,county_name,fips,totalvotes2020,democrat2020,republican2020,twoparty2020,gop_pct2020,dem_pct2020,totalvotes2016,democrat2016,republican2016,twoparty2016,gop_pct2016,dem_pct2016,pct_change_gop,pct_change_dem
ALABAMA,AL,AUTAUGA,01001,27770,7503,19838,27341,72.5576972312644,27.442302768735598,24973,5936,18172,24108,75.37746806039489,24.62253193960511,-3.740867001358017,11.451993791893166
ALABAMA,AL,BALDWIN,01003,109679,24578,83544,108122,77.26827102717301,22.731728972826993,95215,18458,72883,91341,79.79220722348124,20.207792776518758,-3.163136206069861,12.489915272889295
ALABAMA,AL,BARBOUR,01005,10518,4816,5622,10438,53.860892891358496,46.139107108641504,10469,4871,5454,10325,52.823244552058114,47.176755447941886,1.9643782734280357,-2.1994906802045633
ALABAMA,AL,BIBB,01007,9595,1986,7525,9511,79.1189149405951,20.8810850594049,8819,1874,6738,8612,78.23966558290758,21.76033441709243,1.1237897697246924,-4.040605906299366
ALABAMA,AL,BLOUNT,01009,27588,2640,24711,27351,90.34770209498738,9.652297905012613,25588,2156,22859,25015,91.38117129722167,8.618828702778332,-1.1309432649674434,11.99083121237965
ALABAMA,AL,BULLOCK,01011,4613,3446,1146,4592,24.95644599303136,75.04355400696865,4710,3530,1140,4670,24.411134903640257,75.58886509635974,2.233862094260042,-0.7214172202426039
ALABAMA,AL,BUTLER,01013,9488,3965,5458,9423,57.922105486575404,42.077894513424596,8732,3726,4901,8627,56.81001506896951,43.18998493103049,1.9575605045268452,-2.574880309362859
ALABAMA,AL,CALHOUN,01015,50983,15216,35101,50317,69.75972335393604,30.240276646063954,47864,13242,32865,46107,71.27984904678249,28.720150953217516,-2.13261631888243,5.2928889382321875
ALABAMA,AL,CHAMBERS,01017,15284,6365,8753,15118,57.89787008863606,42.10212991136394,13900,5784,7843,13627,57.554854333308874,42.445145666691126,0.5959805811352359,-0.8081389519093318
ALABAMA,AL,CHEROKEE,01019,12301,1624,10583,12207,86.69615794216433,13.303842057835668,10733,1547,8953,10500,85.26666666666667,14.733333333333333,1.6764948500754606,-9.7024294717036
