mu,sigma2
8.166880270248718,2.7088482308810526
8.404878883750735,3.2793008802002466
8.008313147920486,2.554127923631502
7.170931920093563,3.068022164637314
8.518241896904923,2.4764392705948985
7.6662501634753575,1.8560917208099783
8.254370855597687,3.035592580403923
7.425661094089593,3.3394744773615077
7.8775384973574445,3.703869439558112
8.04356382334032,1.9167361633765816
7.976632751219282,2.438472517105763
7.8267597858851135,2.206089832769327
8.24812641679975,3.872327179554623
7.0928599690751035,3.605144723724916
7.5777825674162544,2.5283413729840407
6.963988743602955,3.913660800401466
7.701801894827164,3.4451236886853795
7.569119092864749,3.8569543310548777
7.3837163499195935,4.806922397701764
7.840905360762354,2.361549636081462
8.508242499393734,2.628389741968711
7.748656446362123,2.275774123090907
8.336454402508961,1.8567722931568624
8.275651744772805,2.2523400579968267
7.92415531070236,6.801249238626944
7.556148362937884,1.716843106781907
7.19796417976873,3.294302712365288
7.930026572193951,3.1026074405682267
8.136724768159889,2.5881739863761144
7.485527988272712,1.7593644424120585
7.026590121077744,2.9371420965331665
8.268495552145318,1.8799185396780473
8.665834594116578,2.9464694037485692
8.224367909758143,3.2673587115734235
8.079699175147502,2.597781859591716
8.534735904633548,4.136429426234946
7.5911833670451285,2.776567161823469
7.433082227002369,2.247117659921293
7.7790445168870646,1.9389225819401692
7.432759012700935,3.25994002243852
7.825450687485875,4.571993544492878
8.384597269837252,2.4670009444915846
7.787016359926749,1.7607281653861266
7.838930610533259,1.9539754931418076
8.04500224513989,3.740223712324888
8.775561957387055,3.2415745789619006
7.929984771338868,2.794045775782878
7.511105874051686,4.112073758130492
7.117879196474435,3.129678440151377
7.489329372881228,2.452843300635968
8.09448561278675,2.83657442284815
7.542522221730054,1.803797252510908
7.935152890954078,3.2996494059822523
7.704823673434109,2.53684680545992
8.140706200514167,2.350120416960949
7.9895764513275545,2.521654384529943
7.931552369044863,3.0299531615217914
7.784807372704309,2.149981132802497
7.63754266040333,3.6024773363350127
7.66375169258262,3.7137340592199193
7.695560273713691,2.1471071642419948
7.423341557939384,3.6547463050721296
8.527973471879436,2.693006383321759
7.801816257544956,3.0014592317383055
7.6083754521630835,6.86713248902539
8.234994588362104,1.5938839157317093
7.845821804997734,4.371423850568099
8.443612017076255,4.234034536677086
7.488684663351728,5.087683393583258
8.111455240934564,2.749155777984849
7.705308346465657,3.185044566003507
8.033614551987162,2.4644659483945737
7.480543792317877,2.2547150924455512
8.103424961695008,3.380874753642103
8.088201532883561,3.6508107608828566
7.786821276386742,2.5865141458940104
7.9326547736373705,3.3025640785672756
7.934689935618663,2.5710285940696727
8.062271965113421,1.5906563344614693
8.048313204899433,3.9770173464293457
8.140745207098957,1.6012618685582518
7.909080489595842,2.7340571207879565
7.909311466787615,2.152723346025701
7.36646683245051,2.943071937970747
8.210312585033899,4.591359677977343
7.835311372705836,1.941600957238828
8.099304317987645,2.9711259308394062
7.93527598489757,3.116750205900995
7.9920399851794315,2.6548146537552415
7.330856033443299,3.5976872934985806
7.911103112607801,3.0912313298706753
8.13182917421283,3.87074372462761
7.655656520283526,2.007617188092112
7.804766294465741,2.8835415433055887
8.144826620958536,4.053272463302315
7.742482439389281,2.185706526487697
8.360624722750176,2.7475188084324484
7.673751155640631,2.5355743449885795
7.887944880616871,4.22360015374132
8.285746242175843,3.666540319215373
8.728585301747582,3.498039371589647
7.622048804501745,3.782190768147811
7.747817213569498,2.4005802800786906
7.647219779791043,3.0650947987915673
7.776038331541285,2.5114761175530664
7.998619903890166,4.818314100793014
7.265285479530728,5.139939356278089
7.618497080588862,2.7349999615054372
7.728898562751002,2.454676650390474
7.4813903203849215,3.1637830333064763
8.692648000937528,1.8258742223340751
7.402276655692852,3.1241629908538213
8.118021234066932,2.7701404834020735
7.952530295219435,4.885711286511682
8.274800411082564,4.188818233011724
7.934737281030961,1.6552978149416822
9.202138911307555,9.466311103885504
8.251173554248481,3.46660494051604
7.613224343591055,3.4236317177555047
7.388352145018207,2.2287194991024117
7.833322800312502,1.3675701583156292
7.7305588539179295,1.4229021261411487
8.327920849848622,2.6361385521412535
8.153932297293498,3.532132233680477
7.525135134612402,3.132246513733702
7.00566892185987,2.427646140846197
7.954051034326325,3.7013196680591847
8.156586460092361,2.3833683704604662
6.828518693109077,7.063151797785476
7.778690557253829,4.63415601511305
7.511352266797136,9.956170724974537
7.817323743252573,2.2072043316939896
7.5814736521828845,5.916278808036491
7.8255123504743755,3.6225495060080504
7.77486808478951,7.258896537657439
8.474512720025663,4.061976833762198
8.350021551347666,5.814074877842645
7.999918489129804,3.236501666915404
7.94981162932815,2.5148337293034153
6.804491550761193,5.262150134660463
8.189991100016142,4.040904942735781
7.613760271496254,4.347358081441599
7.1209177699245005,5.500809791036682
7.843916504627204,2.8412576580419078
8.308772215015164,2.250280760117247
7.707986615654784,2.204378308430522
7.951199999580387,3.1093332943241685
7.454954542032513,2.632534420482592
7.718013753861897,2.5845003933561155
8.451544997160775,3.1810985426948193
8.31305581203901,4.807442034082837
7.908718422625862,2.4159945493611943
7.790043642508772,2.4270140303217995
7.747447414357257,4.017297323998574
7.725201970996521,3.375444190546221
8.198950767855777,2.916020603922004
8.275041491005526,4.95291785770703
7.3897512504389695,3.0866368716670802
7.702806120322703,2.5631904244940222
7.956904149916968,3.6498195168186474
7.426140252767734,1.6520096884575297
7.805216476249486,2.0153462333078034
8.087262228126674,3.5578327936285454
8.837779729299506,4.230191927869738
7.842446407928098,3.061227872684863
7.374951063573346,3.9929192426131515
7.543245823494559,3.5564734113968237
7.7681713146847535,3.2889274193064355
7.987114489027935,3.439524293541004
7.377222404460081,7.04206746568222
7.780906978382231,2.382256372328908
7.85232847956475,2.7404035987427733
7.10993387328157,3.2710126625175437
7.972080188166084,1.6144584870360272
8.263939470456053,2.192037918699335
7.6957807350203895,3.644694613355018
7.334034169105289,2.175577738774157
8.419104698173644,2.4495325466731668
8.188985713230654,2.341960668031275
8.298570321116122,1.7353706830355466
7.9066643791857905,3.0071713242593394
7.915084978055946,1.9240891768110806
7.327006746183898,2.5351798128739453
7.973377445323644,1.8633910648089151
8.0727372080116009,1.9505144014163651
7.8862124198048384,4.37154643334276
7.650682497353143,2.890658521841143
6.987207948507336,3.5002397485156505
7.896390638745755,2.9049834833971038
7.5512528798380325,2.3878836673520385
8.123194234547489,5.53784200373806
7.659687320975916,2.787186480471579
8.028355000768656,2.2592640024562125
7.589408451859905,4.178052261938408
7.892726013504406,4.6753561056664905
7.455173538144103,4.520325805026147
7.879537851159042,2.6054170608833362
7.874084060642955,2.631502459012535
8.112156553311403,3.4687936789447975
8.453449050841073,3.1600080219111697
8.23803821184887,2.408497748408789
8.198748208471763,3.4224501779740937
7.677008775449044,1.8338129600082234
7.395363584007679,6.31572845732805
